Raf	Mek	Plcg	PIP2	PIP3	Erk	Akt	PKA	PKC	P38	Jnk
2.037	1.640	0.976	2.535	1.781	1.433	1.629	2.504	1.173	1.579	1.250
1.410	1.185	0.000	2.079	1.375	0.430	1.276	1.009	0.695	1.605	2.344
1.703	1.449	1.441	1.461	1.140	1.167	1.394	2.582	1.185	1.301	0.886
1.840	1.250	1.250	1.793	1.364	0.433	1.124	2.750	0.648	1.301	2.021
1.797	1.286	0.930	1.320	1.593	0.652	1.394	2.676	1.371	1.688	1.352
1.832	1.640	1.057	1.286	1.199	1.250	1.585	3.156	1.504	1.824	1.602
1.875	1.762	0.691	1.188	1.391	1.340	1.559	2.367	1.328	1.664	1.230
1.707	1.625	0.879	2.086	1.684	0.797	1.559	3.012	1.097	1.516	2.033
1.903	1.310	1.382	1.352	1.301	0.945	1.382	2.668	1.281	1.543	0.789
1.797	1.336	1.340	1.344	0.582	1.593	1.879	3.117	0.942	1.356	1.068
1.707	1.403	0.805	1.883	1.236	0.957	1.188	2.828	0.668	1.430	2.238
1.875	1.484	1.134	1.711	1.625	1.403	1.550	2.668	1.310	1.640	1.004
1.774	1.403	1.068	1.316	1.446	0.559	1.093	1.473	1.236	1.512	1.021
2.258	1.579	0.000	2.465	1.695	0.805	1.117	2.758	1.320	1.582	1.246
1.844	1.520	1.104	1.828	0.281	0.610	1.433	2.988	1.933	2.083	1.512
1.758	1.281	1.045	1.625	0.820	0.766	1.130	2.738	1.652	1.906	1.856
1.918	1.484	1.143	1.270	0.840	1.371	1.574	2.621	0.816	1.223	1.980
1.550	1.391	1.196	1.550	1.076	1.340	1.660	2.508	0.832	1.367	1.076
1.906	1.446	1.253	1.629	1.238	0.453	1.316	2.274	1.316	1.520	1.243
2.053	1.660	1.033	2.188	1.766	1.117	1.332	2.528	0.738	1.301	0.973
0.949	1.004	1.013	1.949	1.468	2.258	2.550	3.238	1.382	1.625	1.316
1.547	1.149	0.851	1.305	1.508	1.111	1.352	2.766	1.574	1.676	0.976
1.382	1.090	1.104	1.797	1.427	0.961	1.217	2.738	1.410	1.777	1.906
2.215	1.520	0.762	1.456	1.137	1.212	1.382	2.504	1.352	1.550	1.093
1.762	1.433	1.190	1.758	1.290	1.413	1.539	2.582	0.484	1.433	1.894
1.957	1.438	1.602	1.988	1.851	1.037	1.276	2.632	0.648	1.632	1.906
1.585	1.104	0.640	1.356	1.375	0.625	1.033	2.762	0.270	0.867	0.535
1.711	1.566	1.104	1.605	1.336	1.104	1.413	2.824	0.398	1.173	1.812
1.430	1.179	1.270	1.312	0.926	1.310	1.585	2.640	1.068	1.387	1.188
1.750	1.324	1.104	1.324	1.762	1.149	1.297	2.676	1.413	1.598	1.879
1.848	1.550	1.265	1.660	1.679	1.274	1.500	2.621	1.000	1.348	0.824
1.769	1.547	1.086	1.217	1.382	1.265	1.528	2.559	1.212	1.297	1.017
1.840	1.550	1.238	1.699	1.297	0.930	1.270	2.179	1.079	1.493	1.441
1.844	1.672	1.407	2.441	1.886	1.516	1.711	2.903	1.292	1.679	1.215
2.021	1.777	1.301	1.292	1.179	0.836	1.364	3.027	0.223	1.684	0.668
1.793	1.715	1.134	1.480	1.025	1.155	1.579	2.840	0.812	1.398	1.961
1.875	1.524	0.000	1.500	0.000	1.297	1.441	2.703	1.270	1.493	0.883
1.310	1.179	0.903	2.004	1.555	0.961	1.360	2.602	1.068	1.356	0.836
1.679	1.292	1.243	1.520	1.914	1.253	1.547	2.980	1.352	1.636	1.301
1.777	1.727	1.072	1.890	1.111	1.045	1.579	3.148	1.274	1.468	1.225
1.668	1.433	1.093	2.037	1.340	1.332	1.582	2.316	1.041	1.496	1.079
1.715	1.328	1.691	1.769	1.033	1.769	2.301	3.484	1.185	1.593	1.196
1.504	1.378	1.179	1.104	0.664	0.828	1.176	2.750	0.000	1.836	0.914
1.973	1.438	1.828	2.140	1.489	1.449	1.664	2.957	0.430	0.844	1.851
1.812	1.367	1.185	1.100	0.957	1.292	1.547	2.906	0.375	1.301	0.898
2.185	2.090	1.079	1.539	1.805	0.933	1.418	2.672	0.000	1.079	0.996
1.223	1.093	0.848	2.371	1.543	1.652	1.812	3.266	1.371	1.559	1.484
1.856	1.407	1.117	1.079	1.636	1.086	1.496	2.816	0.886	1.215	1.691
1.550	1.375	0.461	0.629	1.111	1.114	1.356	2.672	0.890	1.524	1.212
1.922	1.789	1.114	1.539	1.090	0.539	1.290	2.378	0.403	0.430	0.785
1.504	0.945	1.111	2.188	1.754	1.225	1.204	2.636	0.980	1.688	1.734
1.468	1.305	0.886	2.097	1.438	1.949	2.176	2.903	0.433	1.188	1.691
2.480	2.512	1.246	1.410	1.029	1.465	1.582	2.496	1.033	1.562	1.236
1.605	1.217	1.061	2.703	1.828	1.286	1.473	2.684	0.465	1.185	1.949
1.465	1.188	0.988	1.364	1.851	0.805	1.672	2.746	1.301	1.391	0.886
1.664	1.410	1.104	1.387	1.571	1.225	1.555	2.574	0.738	1.593	1.980
1.719	1.332	1.433	2.190	1.832	0.859	1.378	2.914	0.555	1.398	1.969
1.688	1.562	1.270	1.025	1.143	0.785	1.413	3.004	1.009	1.356	1.185
1.933	1.914	2.079	2.512	1.898	0.820	1.037	2.859	1.083	1.340	0.734
1.879	1.413	1.332	1.809	1.656	0.918	1.453	2.766	1.196	1.566	1.137
1.766	1.340	1.173	1.265	1.480	0.738	1.236	2.992	1.212	1.332	1.190
1.769	1.543	1.124	1.918	1.582	1.352	1.446	2.579	0.816	1.265	1.688
2.049	1.441	1.453	1.832	1.484	1.033	1.223	2.605	1.250	1.473	0.890
1.824	1.465	0.378	1.037	1.508	1.360	1.508	2.579	1.155	1.489	1.246
1.598	1.378	0.820	2.137	1.310	1.356	1.582	2.496	1.207	1.301	1.021
1.562	1.190	0.407	0.922	1.602	1.199	1.539	2.449	1.328	1.456	1.143
1.582	1.410	1.508	1.774	2.140	1.382	1.562	2.520	1.585	1.832	1.212
1.621	1.328	0.973	0.898	1.512	1.124	1.785	2.933	0.449	1.238	1.809
1.793	1.258	1.394	2.053	1.407	1.230	1.539	2.781	0.629	1.130	1.859
2.223	1.898	0.985	2.045	1.305	1.453	1.949	3.168	1.310	1.465	1.111
1.746	1.456	1.413	1.715	1.812	0.875	1.246	2.433	0.344	0.648	0.988
1.926	1.856	1.111	1.969	1.562	0.949	1.250	2.957	0.957	1.398	1.625
1.781	1.403	1.281	1.438	1.648	1.648	1.812	3.078	1.320	1.695	1.243
1.758	1.340	1.582	1.585	1.910	0.766	1.111	2.438	1.204	1.332	1.173
1.883	1.516	1.477	1.781	1.695	0.738	1.155	1.942	1.045	1.438	0.871
1.985	2.076	1.190	1.851	1.143	1.290	1.508	2.699	1.707	1.875	1.430
1.585	1.250	1.508	2.061	1.785	1.025	1.328	2.985	0.699	1.310	1.543
1.820	1.668	0.886	1.292	1.879	1.196	1.250	2.715	1.079	1.140	1.173
2.049	1.898	0.867	1.176	1.555	1.025	1.508	2.582	1.173	1.493	1.079
1.672	1.348	1.086	1.863	1.382	0.543	1.057	2.531	0.750	1.143	1.973
1.942	1.738	1.292	0.933	1.394	1.199	1.520	2.879	1.391	1.610	1.398
1.762	1.281	1.360	1.281	1.053	1.274	1.758	2.871	0.938	0.922	1.387
1.965	1.493	1.276	1.348	1.535	1.134	1.468	2.585	0.859	1.246	0.903
1.969	1.461	0.980	1.057	1.364	1.310	1.394	2.504	0.617	1.305	2.086
2.029	1.566	1.204	1.590	1.465	1.274	1.449	2.441	0.262	1.407	1.988
1.906	1.754	1.207	1.441	0.605	0.723	0.769	2.691	0.547	0.746	1.387
1.652	1.403	0.000	2.199	1.090	1.152	1.418	2.711	0.816	1.207	1.528
1.438	1.274	0.985	1.121	0.988	1.270	1.738	2.456	0.274	1.297	1.945
1.500	1.410	1.391	1.547	1.410	1.149	1.410	2.453	1.310	1.453	1.684
1.719	1.524	0.910	1.407	0.758	1.484	1.632	2.484	1.543	1.836	1.310
1.856	1.438	0.945	1.262	1.364	1.149	1.438	2.812	0.582	1.305	1.731
1.648	1.430	1.190	1.942	1.097	0.656	1.204	2.579	0.566	1.512	1.886
1.871	1.438	1.215	1.356	0.301	0.797	1.179	2.660	1.134	1.391	0.816
1.644	1.305	1.143	1.250	1.593	1.348	1.480	2.688	1.484	1.602	1.375
1.632	1.360	1.238	1.250	1.340	1.117	1.566	2.851	1.100	1.387	1.816
1.898	1.422	0.076	0.598	1.617	0.906	1.310	2.707	0.566	1.204	1.801
1.949	1.477	1.652	1.672	0.867	1.723	1.988	3.359	1.844	1.976	0.918
1.801	1.438	1.161	1.906	1.613	1.179	1.582	2.656	1.134	1.516	1.117
1.446	1.316	1.403	1.848	1.625	0.844	1.328	2.496	1.394	1.648	1.364
1.844	1.360	1.286	1.243	0.988	1.316	1.449	2.407	1.114	1.403	0.988
1.461	1.196	1.356	1.579	1.691	1.114	1.371	2.707	1.344	1.731	1.555
2.009	1.489	0.856	1.914	1.691	1.305	1.398	2.535	0.598	1.430	1.942
1.774	1.403	1.173	1.789	1.418	1.352	1.562	2.378	0.438	1.161	1.890
1.953	1.496	1.274	1.352	0.942	1.398	1.574	2.629	1.473	1.781	1.382
2.301	1.520	1.290	1.750	1.207	1.336	1.550	2.484	0.629	1.152	1.980
1.793	1.258	1.173	2.173	1.793	0.652	1.316	2.844	1.644	2.097	1.758
1.664	1.375	1.253	2.441	1.617	1.176	1.290	2.524	1.223	1.500	1.072
2.173	1.930	0.926	0.903	1.250	1.465	1.840	3.082	1.422	1.668	1.477
0.949	1.190	0.898	2.185	1.204	1.605	1.789	3.199	1.086	1.410	1.079
2.037	1.602	0.992	1.387	1.863	1.090	1.364	2.688	1.253	1.489	1.179
1.856	1.632	1.493	1.378	1.021	0.910	1.543	3.410	0.000	1.524	0.004
1.836	1.387	1.212	1.679	1.143	0.774	1.236	2.812	1.270	1.585	1.250
1.903	1.644	0.648	1.953	1.449	1.593	1.918	2.801	1.310	1.711	1.555
1.930	1.543	0.000	2.512	1.371	1.644	1.938	2.903	1.378	1.621	1.223
2.292	2.212	0.585	2.493	1.777	1.360	1.403	2.672	0.332	0.820	0.449
1.585	1.238	1.410	1.422	1.037	1.468	1.629	2.508	1.367	1.574	1.286
1.809	1.707	1.104	1.093	0.493	1.352	1.477	2.758	1.398	1.738	1.320
1.988	1.356	1.243	2.004	1.496	1.292	1.403	2.547	1.143	1.559	0.992
1.898	1.453	0.863	0.828	1.824	1.438	1.727	3.219	1.602	1.820	1.310
2.025	1.394	0.130	1.785	1.207	1.848	2.033	3.008	1.188	1.504	1.152
1.883	1.489	0.930	2.149	1.083	1.286	1.531	2.473	0.789	1.468	2.072
2.033	1.489	1.332	1.613	1.489	0.820	1.438	3.039	1.061	1.480	1.828
1.727	1.539	1.262	1.613	1.750	0.579	1.489	2.985	0.535	1.215	1.848
1.446	1.286	1.387	2.025	1.375	1.167	1.328	2.715	1.173	1.559	1.217
1.844	1.418	1.340	1.310	1.230	1.276	1.656	2.727	0.382	0.976	1.871
0.859	0.769	1.250	2.076	1.149	0.945	1.375	2.648	0.477	1.258	1.824
1.691	1.274	1.173	1.468	1.176	1.246	1.449	2.672	0.274	1.340	1.774
1.629	1.196	1.727	1.797	1.217	0.579	1.013	2.742	0.844	1.652	2.433
1.217	1.360	0.965	1.037	1.664	0.555	1.134	2.942	1.097	1.449	0.461
2.004	1.785	1.253	1.114	1.446	0.903	1.045	2.332	0.711	1.057	1.769
1.777	1.340	1.061	1.236	1.124	0.945	1.394	2.985	0.965	1.652	0.585
2.009	1.664	1.053	2.017	1.124	1.566	1.816	2.961	1.137	1.524	1.041
2.152	2.004	1.430	2.625	2.004	1.053	1.290	2.812	0.926	1.465	2.140
1.789	1.236	1.250	1.004	1.223	1.173	1.520	2.734	1.045	1.320	2.188
1.738	1.310	1.190	1.547	1.512	1.068	1.258	2.777	0.212	1.243	1.832
1.703	1.290	0.679	1.134	1.394	1.068	1.461	2.707	1.262	1.598	1.367
1.531	1.124	1.427	1.582	1.992	1.531	1.774	2.848	1.516	1.801	1.707
1.688	1.290	1.516	1.640	1.652	0.933	1.387	2.668	0.204	1.310	1.812
1.848	1.403	1.090	2.161	1.324	0.656	1.391	2.407	0.684	1.274	1.715
1.660	1.281	0.801	1.976	1.236	0.926	1.204	2.387	0.489	1.371	1.973
1.894	1.520	1.403	1.438	1.668	1.824	2.215	3.508	1.250	1.473	1.262
1.246	1.057	1.512	1.976	2.068	1.375	1.562	2.550	0.992	1.364	1.276
1.468	1.422	1.179	1.332	0.910	1.188	1.856	2.785	0.316	1.344	1.758
1.805	1.324	0.883	1.582	1.699	0.644	1.143	2.664	1.312	1.496	1.121
2.356	2.190	1.456	1.516	1.348	1.033	1.004	2.559	1.292	1.593	1.083
1.809	1.473	1.137	1.524	0.933	0.886	1.364	3.098	1.100	1.403	0.045
1.762	1.185	1.290	1.851	1.500	1.155	1.253	2.703	1.276	1.590	1.520
1.875	1.375	1.130	2.250	1.500	1.332	1.520	2.407	1.449	1.640	1.097
1.688	1.398	1.719	2.037	1.212	0.836	1.250	2.648	0.585	1.204	1.805
1.785	1.727	1.438	1.512	0.571	0.980	1.410	3.129	0.152	1.292	1.903
1.985	1.664	1.207	1.190	1.500	0.585	1.348	0.746	0.789	1.512	1.863
1.738	1.418	1.097	1.973	1.173	1.061	1.270	2.676	1.215	1.382	0.863
2.072	1.593	1.820	1.875	1.149	0.636	1.045	2.750	1.262	1.562	1.124
1.985	1.750	1.473	1.593	1.207	1.086	1.579	3.000	1.238	1.672	1.364
1.949	1.723	1.387	1.276	0.585	1.364	1.632	2.851	1.324	1.579	1.270
1.403	1.585	1.332	1.684	1.875	1.281	1.528	2.489	1.949	2.140	1.668
1.985	1.664	1.320	1.711	1.161	1.727	2.072	2.945	0.524	1.111	1.484
1.797	1.543	1.258	2.124	1.477	1.332	1.382	2.605	0.980	1.328	1.134
1.262	1.301	1.676	1.879	1.801	1.124	1.286	2.602	1.286	1.504	1.468
1.816	1.512	1.111	1.230	1.104	1.274	1.493	2.524	0.769	1.520	2.140
1.930	1.613	1.173	1.508	1.438	1.585	1.672	2.890	0.805	1.364	1.750
1.903	1.398	1.562	1.418	1.629	0.691	0.996	2.585	0.734	1.413	1.992
1.625	1.305	0.914	1.430	1.378	1.281	1.605	2.625	1.360	1.512	1.387
1.785	1.281	1.009	1.836	1.456	1.037	0.816	2.427	1.312	1.640	1.340
1.243	1.037	0.785	2.190	1.328	1.236	1.422	2.590	1.238	1.672	1.375
1.562	1.348	1.524	1.805	2.100	0.988	1.297	2.742	1.320	1.539	1.188
1.164	1.173	1.336	2.223	1.496	1.281	1.516	2.456	0.715	1.190	2.033
1.238	1.387	1.410	1.430	0.933	1.332	1.559	2.453	1.230	1.547	1.173
1.801	1.037	1.816	2.104	1.473	1.430	1.731	2.528	1.413	1.590	1.312
1.547	1.204	1.097	2.196	1.684	1.190	2.068	3.176	1.461	1.664	1.029
1.758	1.441	1.161	2.238	1.571	0.746	1.093	2.781	1.199	1.571	1.274
1.387	1.190	1.176	2.057	1.199	1.223	1.477	3.000	1.134	1.312	1.238
1.844	1.610	1.164	2.130	1.446	1.465	1.632	2.585	1.155	1.382	0.957
1.871	1.555	1.652	1.731	1.875	1.025	1.520	3.141	1.025	1.461	0.629
2.004	1.550	1.217	1.945	1.225	1.695	1.859	2.863	1.236	1.512	1.253
1.617	1.236	1.344	1.324	1.104	1.378	1.535	2.579	0.000	1.121	0.938
1.914	1.820	1.057	1.236	1.516	0.723	1.090	2.199	1.410	1.801	1.504
1.938	1.582	1.274	1.013	0.394	1.290	1.496	2.582	1.274	1.484	0.543
1.149	0.859	1.316	2.190	1.130	1.238	1.938	2.290	1.312	1.582	1.199
1.953	1.719	0.449	1.161	1.691	1.582	1.922	2.875	1.407	1.613	1.176
1.988	1.617	1.441	2.250	1.684	1.053	1.433	2.723	0.582	1.164	1.836
1.430	1.137	1.041	1.543	1.550	1.243	1.593	2.703	1.143	1.480	1.009
1.949	1.328	1.137	1.316	1.190	0.520	1.137	2.610	0.250	0.185	1.742
1.820	1.378	1.246	1.100	1.301	1.336	1.555	2.430	1.387	1.562	1.053
2.111	1.727	1.403	2.582	1.942	0.883	0.910	2.484	0.812	1.605	1.942
1.593	1.286	1.574	1.933	1.664	0.859	1.083	2.777	1.340	1.672	1.250
1.398	1.270	0.605	1.079	1.559	1.473	1.613	2.539	0.762	1.076	1.422
1.660	1.286	0.856	1.992	1.473	0.727	1.360	2.562	1.367	1.602	1.324
1.793	1.312	1.398	1.758	1.083	1.173	1.332	2.625	0.000	1.949	0.196
1.851	1.512	1.305	1.922	2.117	0.684	1.312	1.403	1.378	1.574	1.250
1.699	1.500	0.824	1.053	1.173	1.167	2.053	2.258	1.243	1.456	0.965
2.009	1.500	0.644	1.111	1.336	0.933	1.262	2.719	1.004	1.524	2.017
1.801	1.391	1.049	1.217	0.493	0.809	1.243	2.734	0.543	0.992	0.656
2.367	1.820	1.161	1.942	1.310	1.124	1.265	2.555	0.000	1.276	1.769
1.590	1.382	1.276	1.566	1.243	1.629	1.906	3.031	1.072	1.555	1.053
1.992	1.644	0.781	1.364	1.207	1.079	1.356	2.738	1.360	1.703	1.188
1.590	1.391	0.938	0.812	1.418	1.356	1.427	2.340	1.029	1.598	1.856
1.942	1.468	1.352	1.356	1.143	1.418	1.679	2.493	1.033	1.140	0.985
1.879	1.332	0.000	1.856	0.356	0.797	1.190	2.621	1.167	1.461	1.104
1.903	1.276	1.196	1.906	1.375	0.890	1.179	2.598	1.301	1.516	1.270
1.723	1.290	1.286	1.738	1.676	1.640	1.758	2.820	1.049	1.590	1.992
1.805	1.230	1.528	1.547	1.111	1.848	2.037	3.133	0.988	1.413	1.961
2.029	1.652	0.903	1.246	1.660	0.894	1.324	2.699	0.656	1.093	1.844
1.774	1.265	1.230	1.883	1.212	1.493	1.774	2.824	1.265	1.715	1.265
2.025	1.871	1.688	1.789	1.394	1.204	1.559	2.734	0.886	1.446	2.223
1.851	1.610	1.068	1.225	1.161	0.903	1.223	2.816	1.394	1.636	1.155
1.332	1.117	1.375	1.387	1.230	0.632	1.045	2.593	1.090	1.446	1.465
2.173	1.711	1.528	2.079	1.500	1.468	1.734	3.246	1.281	1.427	0.949
1.413	1.090	1.250	2.049	1.258	1.253	1.562	2.539	0.699	1.324	1.758
1.809	1.684	1.090	1.477	1.547	1.124	1.543	2.543	1.137	1.493	1.207
1.559	1.053	1.190	1.215	1.579	1.185	1.360	2.617	0.617	1.017	1.836
1.715	1.427	1.111	1.648	0.652	1.480	1.699	2.480	1.253	1.348	1.013
1.336	0.879	0.985	2.489	1.582	1.072	1.468	2.550	0.910	1.236	1.953
1.973	1.555	1.246	1.155	1.114	1.371	1.602	2.477	1.121	1.391	1.114
1.754	1.312	1.134	1.945	1.477	1.387	1.512	2.617	1.403	1.617	1.215
1.820	1.207	1.041	1.875	1.155	1.121	1.465	2.668	1.394	1.695	1.465
1.441	1.230	1.049	1.996	1.699	1.473	1.703	3.129	1.403	1.723	1.121
1.691	1.524	1.336	1.297	1.004	1.403	1.593	2.602	1.410	1.528	1.320
2.196	1.715	1.090	1.336	1.656	0.777	1.656	1.691	0.890	1.013	1.613
2.093	1.524	1.130	1.212	1.243	1.207	1.398	2.668	0.976	1.382	2.418
1.579	1.215	1.539	1.593	0.836	0.403	1.143	2.378	0.610	1.769	1.949
1.656	1.407	1.344	1.179	1.124	1.090	1.360	2.676	0.312	1.371	2.025
2.212	1.938	1.520	1.731	1.188	1.605	1.727	2.500	1.276	1.585	1.121
1.797	1.528	0.933	1.571	1.652	0.699	0.632	2.602	1.391	1.656	1.456
1.422	1.185	1.640	1.640	1.124	0.781	1.340	3.016	1.489	1.785	1.152
1.719	1.473	1.124	1.930	1.945	1.076	1.508	3.160	1.290	1.640	1.316
1.910	1.394	1.332	1.398	0.656	2.258	2.394	2.793	1.185	1.531	1.344
1.980	1.582	0.699	2.449	1.809	1.422	1.656	2.695	1.418	1.688	1.017
1.903	1.468	0.703	2.068	1.238	1.477	1.851	2.918	0.945	1.344	1.100
1.238	1.164	1.179	2.083	1.489	1.017	1.167	2.856	1.204	1.422	0.922
1.711	1.579	1.629	1.867	1.559	1.190	1.550	3.086	0.297	1.246	1.886
1.585	0.863	0.496	1.230	1.243	1.468	1.621	2.672	1.438	1.632	1.204
1.723	1.727	0.562	1.134	1.629	1.566	1.797	3.000	1.093	1.371	1.375
1.961	1.605	1.230	1.582	0.173	1.021	1.433	3.004	1.473	1.699	1.524
1.579	1.152	1.124	1.516	1.083	1.253	1.632	2.688	0.324	1.394	1.824
1.742	1.274	0.875	1.512	1.134	1.746	1.988	3.418	1.004	1.489	1.766
1.648	1.394	1.190	2.250	1.656	1.324	1.758	2.992	0.000	1.766	0.926
1.848	1.477	1.310	1.238	1.137	1.281	1.566	2.543	1.230	1.727	1.348
1.676	1.484	1.297	1.336	1.500	1.520	1.942	2.602	0.590	1.566	1.985
1.805	1.336	1.356	2.265	1.559	1.312	1.418	2.555	0.598	1.297	1.906
1.371	1.632	1.083	1.465	1.438	0.176	0.930	2.188	1.316	1.559	1.130
0.719	1.179	1.344	1.973	0.886	2.124	2.473	3.039	0.973	1.292	0.617
1.161	1.188	0.000	2.068	0.543	1.204	1.468	2.660	1.310	1.684	1.204
1.566	0.976	1.086	1.100	1.199	1.301	1.477	2.433	1.083	1.418	1.933
1.988	1.403	1.246	1.111	1.238	0.844	0.965	2.547	1.100	1.367	1.320
1.212	1.083	1.828	2.173	1.598	1.636	1.809	3.012	0.980	1.188	1.828
1.648	1.496	1.520	2.265	1.769	1.512	1.636	2.456	0.000	1.774	0.566
1.832	1.727	1.243	1.988	1.574	1.344	1.566	2.520	0.734	1.179	1.976
1.774	1.449	1.276	1.910	1.258	1.903	2.217	3.328	0.933	1.230	0.879
1.413	1.236	1.332	1.382	1.566	1.185	1.508	2.496	0.996	1.274	0.965
1.602	1.516	1.053	1.992	1.290	1.602	1.879	2.562	1.286	1.528	1.167
1.781	1.394	1.230	2.528	1.781	1.104	1.398	2.695	0.996	1.312	0.980
1.703	1.391	1.230	2.134	1.477	1.762	1.961	3.184	0.188	1.367	1.777
1.493	1.274	0.789	2.281	1.114	1.025	1.340	2.668	1.137	1.427	1.176
1.049	1.253	1.243	1.179	1.465	1.104	1.286	2.520	1.274	1.394	1.037
1.593	1.453	1.364	1.152	1.387	1.965	2.371	3.223	0.906	1.286	1.265
1.859	1.433	1.265	1.571	1.410	0.863	1.367	3.031	0.848	1.328	1.550
1.793	1.207	1.398	2.579	1.894	1.496	1.699	2.535	1.149	1.305	0.985
1.104	1.111	1.484	1.516	1.292	0.528	1.149	2.585	1.504	1.774	1.449
1.695	1.253	0.875	1.045	0.480	1.828	2.111	2.867	1.230	1.500	0.890
1.797	1.356	1.117	2.097	1.013	0.758	1.352	2.621	1.238	1.512	1.093
1.033	0.727	1.378	1.691	1.111	1.041	1.360	2.684	0.371	1.324	1.933
1.871	1.422	1.130	1.562	1.699	0.629	1.236	1.848	0.477	1.167	1.965
1.863	1.336	0.832	2.328	1.371	1.217	1.281	2.632	0.223	1.652	0.477
1.037	0.805	1.223	2.161	1.524	0.933	1.041	2.484	0.204	1.140	1.797
1.742	1.276	1.041	2.090	1.076	1.061	1.378	2.625	1.049	1.403	1.152
1.754	1.143	1.265	1.130	1.190	0.754	1.480	2.731	1.253	1.598	1.164
1.988	1.789	1.072	2.217	1.539	1.391	1.504	2.636	1.290	1.547	1.332
1.656	1.290	1.286	1.672	1.933	0.550	1.477	3.051	1.243	1.648	2.196
1.656	1.217	1.230	1.953	1.672	1.290	1.664	2.610	1.045	1.441	2.086
2.394	2.433	1.250	1.531	1.590	1.332	1.585	2.652	0.413	1.550	0.574
1.766	1.531	1.297	2.215	1.555	1.312	1.524	2.496	1.149	1.508	1.143
2.049	1.664	1.033	2.124	0.965	0.613	1.033	2.742	1.430	1.731	1.413
1.204	1.176	1.253	2.185	1.547	1.111	1.550	2.660	1.049	1.410	0.076
1.828	1.500	1.427	1.130	1.236	1.493	1.703	2.468	1.207	1.555	0.000
